Code          Nom                  Action
4          Aristotle                mange
4          Aristotle                pense
3          Plato                    mange
0          Socrates                 mange
0          Socrates                 pense
1          d                        mange
1          d                        mange
3          Plato                    pense
2          Pythagoras               mange
2          Pythagoras               pense
4          Aristotle                mange
1          d                        mange
1          d                        mange
2          Pythagoras               mange
4          Aristotle                pense
0          Socrates                 mange
0          Socrates                 pense
2          Pythagoras               pense
3          Plato                    mange
3          Plato                    pense
1          d                        mange
3          Plato                    mange
1          d                        mange
0          Socrates                 mange
3          Plato                    pense
2          Pythagoras               mange
0          Socrates                 pense
4          Aristotle                mange
4          Aristotle                pense
2          Pythagoras               pense
0          Socrates                 mange
3          Plato                    mange
3          Plato                    pense
2          Pythagoras               mange
0          Socrates                 pense
4          Aristotle                mange
4          Aristotle                pense
2          Pythagoras               pense
1          d                        mange
3          Plato                    mange
1          d                        mange
0          Socrates                 mange
3          Plato                    pense
2          Pythagoras               mange
0          Socrates                 pense
4          Aristotle                mange
2          Pythagoras               pense
1          d                        mange
1          d                        mange
4          Aristotle                pense
